,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
47,Armenia,Entertainment,Ipad wi-fi 128gb,,,Comunicaciones
48,Armenia,Entertainment,1 min. of prepaid mobile tariff (no discounts or plans),15.0,0.04,Comunicaciones
49,Armenia,Entertainment,1 month of gym membership in business district,30320.0,78.0,Ocio
50,Armenia,Entertainment,1 package of marlboro cigarettes,2281.0,5.88,"Alimentos, bebidas y tabaco"
0,Australia,Food,Basic lunchtime menu (including a drink) in the business district,24.0,16.0,Restaurantes
1,Australia,Food,Combo meal in fast food restaurant (big mac meal or similar),15.0,10.0,Restaurantes
2,Australia,Food,500 gr (1 lb.) of boneless chicken breast,8.0,4.96,"Alimentos, bebidas y tabaco"
3,Australia,Food,1 liter (1 qt.) of whole fat milk,2.07,1.35,"Alimentos, bebidas y tabaco"
4,Australia,Food,"12 eggs, large",8.0,4.91,"Alimentos, bebidas y tabaco"
5,Australia,Food,1 kg (2 lb.) of tomatoes,6.0,4.2,"Alimentos, bebidas y tabaco"
6,Australia,Food,500 gr (16 oz.) of local cheese,10.0,6.0,"Alimentos, bebidas y tabaco"
7,Australia,Food,1 kg (2 lb.) of apples,5.02,3.28,"Alimentos, bebidas y tabaco"
8,Australia,Food,1 kg (2 lb.) of potatoes,3.65,2.38,"Alimentos, bebidas y tabaco"
9,Australia,Food,0.5 l (16 oz) domestic beer in the supermarket,7.0,4.66,"Alimentos, bebidas y tabaco"
10,Australia,Food,"1 bottle of red table wine, good quality",23.0,15.0,"Alimentos, bebidas y tabaco"
11,Australia,Food,2 liters of coca-cola,3.78,2.47,"Alimentos, bebidas y tabaco"
12,Australia,Food,Bread for 2 people for 1 day,2.43,1.59,"Alimentos, bebidas y tabaco"
13,Australia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,4636.0,3028.0,Alquiler
14,Australia,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,3136.0,2048.0,Alquiler
15,Australia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",390.0,255.0,Servicios públicos
16,Australia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,2553.0,1668.0,Alquiler
17,Australia,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,1980.0,1294.0,Alquiler
18,Australia,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",223.0,146.0,Servicios públicos
19,Australia,Housing,Internet 8 mbps (1 month),68.0,45.0,Comunicaciones
20,Australia,Housing,40” flat screen tv,691.0,451.0,Electrodomésticos
21,Australia,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",306.0,200.0,Electrodomésticos
22,Australia,Housing,Laundry detergent (3 l. ~ 100 oz.),19.0,12.0,Cuidado personal
23,Australia,Housing,Hourly rate for cleaning help,45.0,29.0,Tarifa horaria trabajo doméstico
24,Australia,Clothes,1 pair of jeans (levis 501 or similar),119.0,78.0,Ropa y calzado
25,Australia,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",91.0,59.0,Ropa y calzado
26,Australia,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",171.0,112.0,Ropa y calzado
27,Australia,Clothes,1 pair of men’s leather business shoes,176.0,115.0,Ropa y calzado
28,Australia,Transportation,"Volkswagen golf 1.4 tsi 150 cv (or equivalent), with no extras, new",40123.0,26209.0,Vehículos
29,Australia,Transportation,1 liter (1/4 gallon) of gas,2.01,1.31,Nafta
30,Australia,Transportation,Monthly ticket public transport,154.0,101.0,Transporte
31,Australia,Personal Care,"Cold medicine for 6 days (tylenol, frenadol, coldrex, or equivalent brands)",11.0,7.0,Cuidado personal
32,Australia,Personal Care,1 box of antibiotics (12 doses),24.0,15.0,Cuidado personal
33,Australia,Personal Care,Short visit to private doctor (15 minutes),87.0,57.0,Cuidado personal
